Number,Version,Short description,Author,Category,Workflow,Updated
KB0000161,1.0,"Simple authentication method where credentials are transmitted in plaintext, typically over HTTP, and often replaced by more secure alternatives.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:39
KB0000162,1.0,"Strategic plan outlining how an organization will maintain operations during and after a disruption, ensuring resilience and recovery.",Security Incident Admin,Recovery Plan,Published,2025-04-21 16:18:39
KB0000163,1.0,A device or application that initiates requests and receives services from a server in a networked environment.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:39
KB0000164,1.0,"Mathematical function used to encrypt, decrypt, or verify data integrity, forming the foundation of secure communications.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:39
KB0000165,1.0,"Tools or processes that track system or user activity to detect anomalies, performance issues, or security threats.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:39
KB0000166,1.0,"Security principle ensuring that systems and data are accessible to authorized users when needed, without disruption.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:39
KB0000167,1.0,Special IP address used to send data to all devices on a network segment simultaneously.,Security Incident Admin,Data,Published,2025-04-21 16:18:39
KB0000168,1.0,"Value calculated from a data set to detect errors during transmission or storage, ensuring data integrity.",Security Incident Admin,Data,Published,2025-04-21 16:18:39
KB0000169,1.0,"Unauthorized communication paths that bypass normal security controls, often used to exfiltrate data or evade detection.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:39
KB0000170,1.0,"Process of removing protocol headers from a data packet as it moves up the OSI model layers, revealing the original payload.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:39
KB0000171,1.0,"Security model that defines the rights of subjects (users or processes) over objects (files, systems) in a tabular format.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:39
KB0000172,1.0,"Network of compromised devices controlled by an attacker, often used to launch coordinated attacks such as DDoS or spam campaigns.",Security Incident Admin,Denial of Service,Published,2025-04-21 16:18:39
KB0000173,1.0,Intrusion detection system deployed on individual hosts to monitor and analyze local activity for signs of compromise.,Security Incident Admin,Data,Published,2025-04-21 16:18:40
KB0000174,1.0,Security technique that blocks incoming packets with spoofed or invalid source addresses to prevent unauthorized access or attacks.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:40
KB0000175,1.0,"Fundamental protocol used for addressing and routing data packets across networks, enabling communication between devices.",Security Incident Admin,Data,Published,2025-04-21 16:18:41
KB0000176,1.0,"Core component of an operating system that manages system resources, hardware interactions, and process scheduling.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:41
KB0000177,1.0,"Authentication method that uses hashed credentials to enhance security during login, reducing exposure of plaintext passwords.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:41
KB0000178,1.0,Legal and operational concept referring to the responsibility of organizations to take reasonable steps to protect assets and data.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:41
KB0000179,1.0,"Logged occurrence or action within a system or application, used for monitoring, auditing, or incident response.",Security Incident Admin,Network,Published,2025-04-21 16:18:42
KB0000180,1.0,"Network attack or malfunction where excessive traffic overwhelms systems or bandwidth, leading to denial of service or degraded performance.",Security Incident Admin,Data,Published,2025-04-21 16:18:42
KB0000181,1.0,"Free software project that provides open-source tools and operating system components, foundational to many Linux distributions.",Security Incident Admin,Software,Published,2025-04-21 16:18:42
KB0000182,1.0,Password cracking technique that combines dictionary and brute-force methods to increase success rates.,Security Incident Admin,Hack,Published,2025-04-21 16:18:42
KB0000183,1.0,"Global network of interconnected systems that enables data exchange, communication, and access to online resources.",Security Incident Admin,Network,Published,2025-04-21 16:18:42
KB0000184,1.0,"International Telecommunication Union – Telecommunication Standardization Sector, responsible for global telecom standards and protocols.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:42
KB0000185,1.0,"Access control method where permissions are explicitly defined in lists, specifying which users or roles can access specific resources.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:42
KB0000186,1.0,"Network configuration where a device or system is connected to multiple networks, enhancing redundancy and routing flexibility.",Security Incident Admin,Network,Published,2025-04-21 16:18:42
KB0000187,1.0,"Protocol used for transmitting web content between browsers and servers, forming the foundation of data exchange on the internet.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:41
KB0000188,1.0,"Mathematical algorithms that convert input data into fixed-size hashes, used for data integrity, indexing, and cryptography.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:41
KB0000189,1.0,"Network function that enables a device to pass traffic between different IP networks, often used in routers or gateways.",Security Incident Admin,Network,Published,2025-04-21 16:18:40
KB0000190,1.0,Access control model where the data owner determines who can access specific resources and what operations they can perform.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:40
KB0000191,1.0,"ICMP message sent to test network connectivity, commonly used in ping operations to verify if a host is reachable",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:41
KB0000192,1.0,Technique used by attackers to rapidly change DNS records to evade detection and maintain control over botnets or malicious domains.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:41
KB0000193,1.0,"Process or condition where data is split across non-contiguous storage locations, potentially impacting performance and efficiency.",Security Incident Admin,Data,Published,2025-04-21 16:18:41
KB0000194,1.0,Decoy system or resource designed to attract attackers and monitor malicious activity without risking production assets.,Security Incident Admin,Software,Published,2025-04-21 16:18:41
KB0000195,1.0,"Backup method that saves only the data changed since the last backup, reducing storage use and speeding up backup operations.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:41
KB0000196,1.0,"Private network used within an organization to share information, resources, and services securely among employees.",Security Incident Admin,Network,Published,2025-04-21 16:18:41
KB0000197,1.0,Cryptographic algorithm used to generate digital signatures for verifying the authenticity and integrity of messages or documents.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:41
KB0000198,1.0,Shared library in Windows systems containing code and data that can be used by multiple programs simultaneously to reduce redundancy.,Security Incident Admin,Software,Published,2025-04-21 16:18:41
KB0000199,1.0,"Flexible authentication framework used in network access control, supporting multiple authentication methods like certificates and smartcards.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:41
KB0000200,1.0,"DNS process that resolves a domain name into its corresponding IP address, enabling network routing and access.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:41
KB0000201,1.0,"Link-state routing protocol used to determine the most efficient path for data within IP networks, commonly used in enterprise environments.",Security Incident Admin,Data,Published,2025-04-21 16:18:42
KB0000202,1.0,"Process or issue related to patching software or systems to fix vulnerabilities, improve performance, or maintain compliance.",Security Incident Admin,Software,Published,2025-04-21 16:18:48
KB0000203,1.0,Ping of Death is a legacy denial-of-service attack that sends malformed or oversized ping packets to crash or destabilize target systems.,Security Incident Admin,Hack,Published,2025-04-21 16:18:48
KB0000204,1.0,"Reference to private IP addressing schemes used within internal networks, typically not routable on the public internet.",Security Incident Admin,Network,Published,2025-04-21 16:18:49
KB0000205,1.0,"Configuration or troubleshooting of Reflexive Access Control Lists (ACLs) in Cisco devices, used to dynamically permit return traffic based on outbound sessions.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000206,1.0,"Security concern involving a rootkit, a type of stealthy malware designed to hide its presence and gain privileged access to a system.",Security Incident Admin,Hack,Published,2025-04-21 16:18:49
KB0000207,1.0,"Reference to server infrastructure, possibly involving setup, performance, maintenance, or role-specific configurations.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000208,1.0,"Topic related to link-state routing protocols, which maintain a map of the network to determine optimal data paths.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000209,1.0,"Topic involving multicast networking, where data is transmitted from one sender to multiple receivers efficiently across a network.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000210,1.0,"Reference to a one-way function, a mathematical function that is easy to compute but difficult to reverse, commonly used in cryptographic algorithms.",Security Incident Admin,Hack,Published,2025-04-21 16:18:49
KB0000211,1.0,"Concept of permutation, often used in cryptography or data processing to rearrange elements in a defined order.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000212,1.0,"Topic involving POP3, a protocol used by email clients to retrieve messages from a mail server, often in legacy or basic configurations.",Security Incident Admin,Standards,Published,2025-04-21 16:18:49
KB0000213,1.0,"Reference to the Qaz worm, a type of malware that exploited Windows systems and allowed remote access through backdoor mechanisms.",Security Incident Admin,Network,Published,2025-04-21 16:18:49
KB0000214,1.0,"Description of a risk-averse approach, emphasizing cautious decision-making and prioritization of security and stability over aggressive strategies.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000215,1.0,"System or application experiencing performance degradation due to excessive demand, often leading to slowdowns or failures.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:48
KB0000216,1.0,"National Institute Of Standards And Technology (NIST) which is a U.S. agency that develops cybersecurity standards, guidelines, and best practices widely adopted across industries.",Security Incident Admin,Standards,Published,2025-04-21 16:18:48
KB0000217,1.0,"Technique used in malware to change its code structure while retaining functionality, making it harder to detect through signature-based methods.",Security Incident Admin,Software,Published,2025-04-21 16:18:48
KB0000218,1.0,"Component of public key cryptography used to encrypt data or verify digital signatures, enabling secure communication between parties.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:48
KB0000219,1.0,"Reverse Lookup is a technique used to determine domain names or hostnames from IP addresses, often for network diagnostics or security investigations.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:48
KB0000220,1.0,"Scavenging is an activity involving the recovery or reuse of discarded data or resources, sometimes with security implications if sensitive information is exposed.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:48
KB0000221,1.0,"Malicious code is any code designed to harm, exploit, or compromise systems, including viruses, worms, trojans, and ransomware.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:48
KB0000222,1.0,"Network mapping is the process of identifying devices, connections, and topology within a network to support monitoring, troubleshooting, or security assessments.",Security Incident Admin,Network,Published,2025-04-21 16:18:48
KB0000223,1.0,"Basic authentication protocol that transmits usernames and passwords in plaintext, often replaced by more secure alternatives.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:48
KB0000224,1.0,"Network protocol used to establish direct connections between two nodes, often for dial-up or VPN access, supporting authentication and compression.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:48
KB0000225,1.0,Sensitive business data or intellectual property that is owned by an organization and protected from unauthorized disclosure or use.,Security Incident Admin,Data,Published,2025-04-21 16:18:48
KB0000226,1.0,"Condition where system resources such as memory, CPU, or bandwidth are depleted, often due to misconfiguration or malicious activity.",Security Incident Admin,Hack,Published,2025-04-21 16:18:48
KB0000227,1.0,Scanning activity targeting Remote Procedure Call (RPC) services to identify vulnerabilities or open ports that could be exploited.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:48
KB0000228,1.0,"Malicious code embedded in software that triggers under specific conditions, potentially causing damage or unauthorized actions.",Security Incident Admin,Software,Published,2025-04-21 16:18:48
KB0000229,1.0,"Reference to a security policy document or configuration, outlining rules and procedures for protecting systems and data.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000230,1.0,"Analysis of signals, possibly in the context of communications, cybersecurity, or intelligence gathering, to extract meaningful patterns or threats.",Security Incident Admin,Data,Published,2025-04-21 16:18:49
KB0000231,1.0,"Concept or implementation of a state machine, a computational model used to design logic for systems that transition between defined states.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:50
KB0000232,1.0,"Use or management of symbolic links (symlinks), which are file system references that point to other files or directories.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:50
KB0000233,1.0,"Reference to Telnet, a legacy network protocol used for remote command-line access, often replaced due to security limitations.",Security Incident Admin,Standards,Published,2025-04-21 16:18:50
KB0000234,1.0,"Security incident or concept involving Trojan Horse malware, which disguises itself as legitimate software to gain unauthorized access.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:50
KB0000235,1.0,"Configuration or issue related to a voice firewall, which protects VoIP systems from threats like toll fraud or denial-of-service attacks.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:50
KB0000236,1.0,"Reference to a zero-day vulnerability or exploit, which is unknown to the vendor and actively exploited before a fix is available.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:50
KB0000237,1.0,"Reference to the Simple Security Property in security models, which restricts read access to prevent unauthorized data exposure.",Security Incident Admin,Data,Published,2025-04-21 16:18:50
KB0000238,1.0,"SQL Injection vulnerability or attack, where malicious SQL code is inserted into queries to manipulate or access databases.",Security Incident Admin,Data,Published,2025-04-21 16:18:50
